Organism, OR1/3/7_CODING, OR1/3/7_PSEUDOGENE, OR10_CODING, OR10_PSEUDOGENE, OR11_CODING, OR11_PSEUDOGENE, OR12_CODING, OR12_PSEUDOGENE, OR14_CODING, OR14_PSEUDOGENE, OR2/13_CODING, OR2/13_PSEUDOGENE, OR4_CODING, OR4_PSEUDOGENE, OR5/8/9_CODING, OR5/8/9_PSEUDOGENE, OR51_CODING, OR51_PSEUDOGENE, OR52_CODING, OR52_PSEUDOGENE, OR55_CODING, OR55_PSEUDOGENE, OR56_CODING, OR56_PSEUDOGENE, OR6_CODING, OR6_PSEUDOGENE, TAAR1_PSEUDOGENE, TAAR2_PSEUDOGENE, TAAR3_PSEUDOGENE, TAAR5_PSEUDOGENE, TAAR6_PSEUDOGENE, TAAR7_PSEUDOGENE, TAAR8_PSEUDOGENE, TAAR9_PSEUDOGENE, TAS1R1_CODING, TAS1R1_PSEUDOGENE, TAS1R2_PSEUDOGENE, TAS1R3_PSEUDOGENE, V1R_CODING, V1R_PSEUDOGENE, V2R116_proteinAlignment_CODING, V2R116_proteinAlignment_PSEUDOGENE, V2R1_CODING, V2R1_PSEUDOGENE, V2R26_CODING, V2R26_PSEUDOGENE, _, bird_gammaOR_CODING, bird_gammaOR_PSEUDOGENE, squamate_V2r_CODING, squamate_V2r_PSEUDOGENE
Abramis_brama_GCA_022829085.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 1, 10, 4, 31, 1, 0, 46, 33, 1, 2
Acanthisitta_chloris_GCA_000695815.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 5, 1, 0, 0, 0, 2, 0, 1, 0, 0, 2, 5, 7, 0, 2, 0, 0, 4, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 1, 1, 0, 1, 5, 0, 0
Acanthochaenus_luetkenii_GCA_900312575.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 4, 12, 6, 0, 1, 4, 0, 1
Acanthochromis_polyacanthus_GCA_021347895.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 3, 11, 3, 81, 15, 0, 5, 62, 0, 7
Acanthopagrus_latus_GCA_904848185.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5, 22, 14, 202, 19, 0, 7, 31, 4, 17
Accipiter_cirrocephalus_GCA_027479145.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 7, 3, 0, 0, 0, 2, 0, 7, 2, 3, 2, 1, 17, 3, 2, 7, 14, 3, 0, 0, 0, 0, 1, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 1, 0, 9, 46, 0, 0
Accipiter_cooperii_GCA_024222105.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 7, 6, 0, 1, 2, 0, 0, 5, 1, 5, 3, 1, 25, 2, 5, 3, 16, 3, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 2, 0, 0, 29, 63, 0, 0
Accipiter_fasciatus_GCA_027475485.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 6, 0, 2, 1, 0, 0, 3, 2, 2, 2, 1, 18, 3, 3, 6, 14, 3, 0, 0, 0, 0, 2, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 0, 2, 0, 0, 14, 49, 0, 0
Accipiter_gentilis_GCA_929443795.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 7, 18, 0, 7, 1, 0, 0, 4, 176, 39, 3, 1, 28, 2, 6, 6, 15, 0, 0, 0, 0, 0, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 1, 0, 172, 33, 0, 0
Accipiter_hiogaster_GCA_024363185.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 8, 0, 1, 1, 0, 0, 2, 2, 2, 2, 1, 20, 1, 2, 7, 15, 4, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 0, 0, 23, 30, 0, 0
